case_material,band_material,case_back,bezel_material,brand,gender,movement,watch_style,case_thickness,crystal,hands,dial_markers,case_diameter,water_resistance,price_segment
Alloy,Leather,Solid,Alloy,Stuhrling Original,MENS,Quartz,Casual,9.0,Scratch Resistant Mineral,Black,Index,42.0,100.0,0
316L Steel,316L Steel,Solid,316L Steel,Tudor,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Luminous Silver-tone,Roman Numeral,41.0,100.0,1
18kt Rose Gold,Alligator Leather,Transparent See Through,18kt Rose Gold,Breitling,MENS,Automatic,Luxury,13.6,Scratch Resistant Sapphire,Rose Gold-tone,Index,43.0,30.0,2
Stainless Steel,Rubber,Solid,Stainless Steel,U-Boat,MENS,Quartz,Casual,11.196182331158523,Scratch Resistant Sapphire,Black,Arabic Numeral & Index,45.0,100.0,1
Ceramic,(Calfskin) Leather,Solid,Ceramic,Bell And Ross,MENS,Automatic,Luxury,9.8,Scratch Resistant Sapphire,Luminous Black,Index,42.0,100.0,1
Stainless Steel,Leather,Solid,Stainless Steel,Invicta,MENS,Quartz,Casual,13.8,Scratch Resistant Mineral,Luminous Silver-tone,Index,48.0,100.0,0
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Omega,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,18kt White Gold,Roman Numeral,41.0,100.0,1
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Seiko,MENS,Eco-Drive,Casual,9.7,Scratch Resistant Sapphire,Silver-tone,Index,40.0,100.0,0
Stainless Steel,Nylon,Solid,Stainless Steel,Crayo,WOMENS,Quartz,Casual,10.0,Scratch Resistant Mineral,Silver-tone,Index,39.0,30.0,0
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Seiko,MENS,Automatic,Casual,12.0,Scratch Resistant Mineral,Luminous Yellow Gold-tone,Index,43.0,50.0,0
Ceramic,Ceramic,Solid,Stainless Steel with a Black Ceramic,Chanel,WOMENS,Quartz,Dress,10.0,Scratch Resistant Sapphire,Luminous Silver-tone,Arabic Numeral,33.0,200.0,1
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Mathey-Tissot,WOMENS,Quartz,Casual,8.0,Sapphire Glass,Luminous Silver-tone,Index,32.0,50.0,0
18kt Yellow Gold,18kt Yellow Gold Rolex President,Solid,Diamond Set,Rolex,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Yellow Gold-Tone,Diamond,26.0,100.0,3
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Gv2 By Gevril,WOMENS,Quartz,Fashion,10.0,Scratch Resistant Sapphire,Luminous Gold-tone,Diamond,34.0,50.0,0
Stainless Steel,Leather,Solid,Stainless Steel,Citizen,MENS,Eco-Drive,Casual,11.0,Scratch Resistant Mineral,Rose Gold-tone,Index-Roman Numeral,41.0,100.0,0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Nixon,UNISEX,Quartz,Luxury,11.196182331158523,Scratch Resistant Mineral,Silver-tone,Index,42.0,100.0,0
Stainless Steel,Leather,Skeleton Transparent Exhibition See Through,Diamond Set,Carl F. Bucherer,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Index,46.0,50.0,3
Stainless Steel,Leather,Solid,Crystal,Oniss,WOMENS,Quartz,Dress,8.5,Scratch Resistant Mineral,Blue,Roman Numeral,36.0,3.0,0
Stainless Steel,Silicone,Solid,Stainless Steel,Technomarine,WOMENS,Quartz,Sport,14.0,Sapphire,Gold-tone,Index,40.0,200.0,0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Paul Picot,MENS,Automatic,Luxury,12.7,Scratch Resistant Sapphire,Silver-tone,Index,43.0,200.0,1
Stainless steel,Leather,Transparent,Stainless Steel,Hamilton,MENS,Automatic,Luxury,10.9,Scratch Resistant Sapphire,Silver-tone,Index / Small Arabic Numeral,42.0,100.0,0
Stainless Steel,Stainless Steel and 18kt Everose Gold Jubilee,Solid,18kt Everose Gold,Rolex,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Everose Gold,Roman- Diamond Numeral,31.0,100.0,2
Stainless Steel,Cavnas with Orange Stitching,Transparent See Through,Stainless Steel,Armand Nicolet,MENS,Automatic,Dress,12.5,Scratch Resistant Sapphire,Silver-tone,Index,42.0,50.0,1
Stainless Steel,Stainless Steel,Solid,Stainless Steel with a Blue Top Ring,Invicta,MENS,Quartz,Casual,11.196182331158523,Flame Fusion,Yellow Gold-tone Skeleton,Dot,48.0,200.0,0
Stainless Steel,Stainless Steel Mesh,Solid,Stainless Steel with a Blue Ceramic Top Ring,Breitling,MENS,Automatic,Luxury,15.65,Scratch Resistant Sapphire,Luminous Silver-tone Arrow-shaped,Index,44.0,200.0,1
18kt Rose Gold,(Glossy Alligator) Leather,Transparent,18kt Rose Gold set with Diamonds,Chopard,WOMENS,Automatic,Luxury,9.0,Scratch Resistant Sapphire,Luminous Rose Gold-tone,Index,29.0,50.0,2
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Breguet,MENS,Automatic,Luxury,12.25,Scratch Resistant Sapphire,Blue Breguet-style shape,Roman Numeral,42.0,100.0,2
Stainless Steel,Leather,Solid,Stainless Steel,Gevril,MENS,Automatic,Luxury,12.0,Scratch Resistant Sapphire,Yellow Gold-tone,Index,42.0,50.0,0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Raymond Weil,MENS,Quartz,Luxury,8.0,Scratch Resistant Sapphire,Black,Roman Numeral,39.0,100.0,0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Mathey-Tissot,WOMENS,Quartz,Casual,3.0,Scratch Resistant Sapphire,Gold-tone,Roman Numeral,28.0,30.0,0
Stainless Steel,Stainless Steel,Solid,Ceramic,Breitling,MENS,Automatic,Casual,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Arabic Numeral & Index,44.0,200.0,1
Alloy,Leather,Transparent,Alloy,Stuhrling Original,WOMENS,Automatic,Dress,11.0,Scratch Resistant Mineral,Green,Index,38.0,50.0,0
Alloy,Alloy,Solid,Alloy,Elevon,MENS,Quartz,Casual,10.0,Scratch Resistant Mineral,Silver-tone,Arabic Numeral,42.0,50.0,0
Stainless Steel,Stainless Steel,Solid,Stainless Steel with an inlaid Blue and Red Ring,Seiko,MENS,Automatic,Casual,13.0,Scratch Resistant Hardlex,Luminous Silver-tone and Red,Dot,45.0,200.0,0
Stainless Steel,Rubber,Solid,Stainless Steel,Hamilton,MENS,Quartz,Dress,13.75,Scratch Resistant Sapphire,Luminous Silver-tone,Arabic Numeral,46.0,100.0,0
Stainless Steel,Ceramic,Solid,Stainless Steel set with Diamonds,Jivago,WOMENS,Quartz,Dress,11.0,Scratch Resistant Sapphire,Luminous Rose Gold-tone,Diamond,36.0,30.0,0
18kt Rose Gold,Alligator Leather,Skeleton Transparent Exhibition See Through,18kt Rose Gold,Vacheron Constantin,MENS,Automatic,Luxury,10.65,Scratch Resistant Sapphire,Rose Gold-tone Dauphine-style shape,Index,39.0,30.0,3
Stainless Steel,Alligator Leather,Solid,Stainless Steel,Audemars Piguet,MENS,Automatic,Luxury,11.0,Scratch Resistant Sapphire,Silver-tone,Arabic Numeral,40.0,20.0,2
Stainless Steel,Rubber,Solid,Stainless Steel,Revue Thommen,MENS,Automatic,Dive,13.0,Scratch Resistant Sapphire,Green,Index,42.0,300.0,0
Stainless Steel,Stainless Steel,Solid,Stainless Steel with an inlaid Blue Ring,Victorinox,MENS,Quartz,Casual,12.7,Scratch Resistant Sapphire,Luminous Rose Gold-tone,Index,43.0,100.0,0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Citizen,MENS,Quartz,Casual,11.0,Scratch Resistant Mineral,Luminous Gold-tone,Index,42.0,100.0,0
Composite Metal,Leather,Solid,Composite Metal set with Crystals,August Steiner,WOMENS,Quartz,Fashion,11.0,Scratch Resistant Mineral,Luminous Rose Gold-tone,Index,36.0,30.0,0
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Longines,WOMENS,Automatic,Dress,9.0,Scratch Resistant Sapphire,Blue Leaf-style,Arabic Numeral,29.0,30.0,1
Stainless Steel,Stainless Steel,Transparent See Through,Stainless Steel,Breitling,MENS,Automatic,Casual,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Index,41.0,30.0,1
Diamond Set 18kt Rose Gold,Alligator Leather,Transparent See Through,18kt Rose Gold,Audemars Piguet,UNISEX,Automatic,Dress,10.7,Scratch Resistant Sapphire,Rose Gold-tone,Arabic Numeral,41.0,30.0,4
Stainless Steel,Stainless Steel and 18kt Yellow Gold Jubilee,Solid,18kt Yellow Gold,Rolex,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Gold-tone,Index,42.0,100.0,2
Stainless Steel,Stainless Steel with 18kt Yellow Gold Bars,Solid,18kt Yellow Gold set with Diamonds,Omega,WOMENS,Quartz,Dress,11.196182331158523,Scratch Resistant Sapphire,Yellow Gold-tone Skeleton,Diamond,25.0,30.0,1
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Gevril,WOMENS,Quartz,Luxury,9.5,Scratch Resistant Sapphire,Rose Gold-tone,Arabic Numeral,32.0,50.0,0
Stainless Steel,Leather,Solid,Stainless Steel,Gv2 By Gevril,WOMENS,Quartz,Fashion,12.0,Scratch Resistant Sapphire,Gold-tone,Diamond-set Index,34.0,50.0,0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Mathey-Tissot,WOMENS,Quartz,Dress,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Diamond,28.0,50.0,0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Citizen,MENS,Automatic,Sport,14.0,Scratch Resistant Sapphire,Silver-tone,Index,41.0,100.0,1
Stainless steel,Stainless Steel,Solid,Stainless steel,Rudiger,WOMENS,Quartz,Casual,6.75,Scratch Resistant Mineral,Gold-tone,Index,26.0,50.0,0
Stainless Steel,Rubber,Transparent,Stainless Steel,Omega,MENS,Automatic,Luxury,13.2,Scratch Resistant Sapphire,Blue,Index,41.0,150.0,1
Stainless Steel,Leather,Solid,Stainless Steel,Mann Egerton,MENS,Quartz,Luxury,15.0,Scratch Resistant Mineral,Silver-tone,Roman Numeral & Index,45.0,30.0,0
Stainless Steel,Leather,Solid,Stainless Steel,U-Boat,MENS,Quartz,Casual,11.196182331158523,Scratch Resistant Sapphire,Black,Arabic Numeral & Index,44.0,50.0,1
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Raymond Weil,MENS,Quartz,Dress,6.0,Scratch Resistant Sapphire,Silver-tone,Index,39.0,50.0,0
Stainless Steel,Alligator,Transparent See Through,Stainless Steel,Omega,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Roman Numeral,40.0,30.0,1
18kt Yellow Gold,18kt Yellow Gold Rolex President,Solid,Diamond Set,Rolex,UNISEX,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Yellow Gold,Diamond,36.0,100.0,3
Stainless Steel,Genuine Leather,Solid,Stainless Steel,Gv2 By Gevril,WOMENS,Quartz,Fashion,9.0,Scratch Resistant Sapphire,Silver-tone,Diamond,29.0,50.0,0
Stainless Steel,Stainless Steel,Transparent See Through,Ceramic,Longines,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Index,42.0,100.0,1
Stainless Steel,Leather,Skeleton Transparent Exhibition See Through,Stainless Steel,Audemars Piguet,MENS,Hand Wind,Luxury,11.196182331158523,Scratch Resistant Sapphire,Luminous,Index,44.0,20.0,4
Stainless Steel,Stainless Steel,Transparent See Through,Stainless Steel,Grand Seiko,MENS,Automatic,Sport,11.7,Scratch Resistant Sapphire,Silver-tone,Index,40.0,100.0,1
Stainless Steel,Leather,Solid,Stainless Steel,IWC,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Blue,Index,40.0,30.0,1
Stainless Steel,Leather,Solid,Stainless Steel with a Green Ring,Mathey-Tissot,MENS,Quartz,Sport,11.196182331158523,Scratch Resistant Mineral,Luminous Silver-tone,Dot,42.0,100.0,0
Stainless Steel,Leather,Solid,Stainless Steel,Calvin Klein,MENS,Quartz,Sport,14.0,Scratch Resistant Mineral,Luminous Silver-tone,Index,43.0,50.0,0
Maroon Ceramic,Maroon Ceramic,Solid,Crystal Set,Jivago,WOMENS,Quartz,Dress,11.0,Scratch Resistant Mineral,Luminous Rose Gold-tone,Roman Numeral,38.0,30.0,0
Stainless Steel,Leather,Screw Down,Stainless Steel,Akribos Xxiv,MENS,Quartz,Casual,12.0,Mineral with Sapphire Coating,Luminous Black,Black Arabic Numeral,48.0,30.0,0
Stainless Steel,Leather,Transparent,Stainless Steel,Gevril,MENS,Automatic,Luxury,11.0,Scratch Resistant Sapphire,Silver-tone,Index,39.0,100.0,1
Stainless Steel,Stainless Steel,Solid,Stainless Steel with a Blue Top Ring,Invicta,MENS,Quartz,Casual,12.0,Flame Fusion,Luminous Yellow Gold-tone,Dot,43.0,200.0,0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Raymond Weil,WOMENS,Quartz,Dress,6.0,Scratch Resistant Sapphire,Yellow Gold PVD,Diamond,29.0,50.0,0
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Tissot,MENS,Automatic,Casual,9.8,Scratch Resistant Sapphire,Rose Gold-tone,Roman Numeral,39.0,30.0,0
18kt White Gold,Alligator Leather,Skeleton Transparent Exhibition See Through,18kt White Gold,Chopard,MENS,Automatic,Luxury,14.06,Scratch Resistant Sapphire,White,Roman Numeral,44.0,100.0,2
Stainless Steel,Rubber,Solid,Stainless Steel,Longines,MENS,Quartz,Dress,12.5,Scratch Resistant Sapphire,Luminous Black,Index,44.0,50.0,1
Composite Metal,Leather,Solid,Composite Metal,August Steiner,WOMENS,Quartz,Fashion,7.0,Scratch Resistant Mineral,Rose Gold-tone Leaf-style,Diamond,36.0,30.0,0
Stainless Steel,Silicone,Transparent See Through,Stainless Steel,Edox,MENS,Automatic,Casual,12.5,Scratch Resistant Sapphire,Black,Index,43.0,200.0,1
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Porsamo Bleu,WOMENS,Quartz,Fashion,11.196182331158523,Scratch Resistant Mineral,Silver-tone,Index,37.0,30.0,0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Longines,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Blue,Arabic Numeral,27.0,30.0,1
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Mathey-Tissot,MENS,Quartz,Casual,11.196182331158523,Scratch Resistant Mineral,Silver-tone,Index,44.0,50.0,0
Stainless Steel,Stainless Steel Rolex Jubilee,Solid,18kt White Gold,Rolex,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Luminous Silver-tone,Index,41.0,100.0,2
Stainless Steel,Stainless Steel,Solid,Stainless Steel set with Crystals,Michael Kors,WOMENS,Quartz,Casual,11.0,Scratch Resistant Mineral,Luminous Rose Gold-tone,Crystal-set Index,33.0,30.0,0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Bertha,WOMENS,Quartz,Casual,10.0,Scratch Resistant Mineral,Rose Gold-tone,Index,36.0,30.0,0
Platinum,Suede Leather,Transparent See Through,Platinum,Patek Philippe,MENS,Automatic,Luxury,10.23,Scratch Resistant Sapphire,Silver-tone,Index-Arabic Numeral,38.0,30.0,3
Stainless Steel,Stainless Steel Oyster,Solid,Stainless Steel,Rolex,MENS,Automatic,Dive,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Index,40.0,600.0,2
Stainless Steel,Stainless Steel,Transparent,Stainless Steel showing Tachymeter Markings,Revue Thommen,MENS,Automatic,Luxury,15.0,Scratch Resistant Sapphire,Luminous Silver-tone,Index,42.0,50.0,1
18kt White Gold,Alligator Leather,Solid,18kt Yellow Gold,Rolex,MENS,Automatic,Luxury,11.196182331158523,Domed Sapphire Crystal,Silver-tone Alpha-style shape,Index,39.0,50.0,2
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Longines,WOMENS,Automatic,Dress,8.0,Scratch Resistant Sapphire,Silver-tone,Roman Numeral,26.0,30.0,1
Stainless Steel,Silicone,Solid,Stainless Steel,Invicta,MENS,Quartz,Casual,14.3,Scratch Resistant Mineral,Gold-tone,Index-Arabic Numeral,46.0,100.0,0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Longines,MENS,Quartz,Luxury,11.196182331158523,Scratch Resistant Sapphire,Luminous Silver-tone,Index,44.0,50.0,0
18kt Rose Gold,Satin,Solid,18kt Rose Gold,Harry Winston,WOMENS,Quartz,Luxury,11.196182331158523,Scratch Resistant Sapphire,Rose Gold-tone,Diamond and Index,39.0,30.0,2
Metal,Leatherette,Solid,Metal,Crayo,UNISEX,Quartz,Casual,43.0,Scratch Resistant Mineral,Silver-tone,Index,41.0,30.0,0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Tudor,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Index,41.0,100.0,1
Stainless steel,Rubber,Stainless Steel,Stainless Steel,Revue Thommen,MENS,Automatic,Dive,16.0,Sapphire,Silver-tone,Index,45.0,300.0,0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Citizen,MENS,Eco-Drive,Sport,10.0,Scratch Resistant Sapphire,Black,Index,43.0,100.0,0
18kt Rose Gold,Alligator Leather,Skeleton Transparent Exhibition See Through,18kt Rose Gold,Blancpain,MENS,Automatic,Luxury,12.1,Scratch Resistant Sapphire,Gold-tone Leaf-style shape,Roman Numeral,40.0,30.0,2
18kt White Gold,Satin,Solid,18kt White Gold,Piaget,WOMENS,Quartz,Luxury,6.0,Scratch Resistant Sapphire,Silver-tone,Diamond,17.0,30.0,1
Composite Metal,Leather,Solid,Composite Metal,Akribos Xxiv,WOMENS,Quartz,Fashion,7.0,Scratch Resistant Mineral,Gold-tone,Roman Numeral,36.0,30.0,0
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Longines,MENS,Automatic,Dress,14.2,Scratch Resistant Sapphire,Silver-tone,Diamond,42.0,30.0,1
Ceramic,Leather,Transparent,Ceramic,Rado,MENS,Automatic,Sport,12.3,Scratch Resistant Sapphire,Silver-tone,Index,43.0,100.0,1
18kt White Gold,Alligator Leather,Solid,18kt White Gold Set with 42 Diamonds,Piaget,WOMENS,Quartz,Luxury,7.47,Scratch Resistant Sapphire,Silver-tone,Diamond,29.0,30.0,2
Stainless Steel,Stainless Steel,Solid,Stainless Steel with a Black Top Ring,Orient,MENS,Automatic,Dive,12.5,Scratch Resistant Mineral,Luminous Black,Dot,41.0,200.0,0
Stainless Steel,Leather,Solid,Stainless Steel,Citizen,MENS,Eco-Drive,Sport,11.196182331158523,Scratch Resistant Sapphire,White,Index-Arabic Numeral,42.0,200.0,0
Stainless Steel,Leather,Transparent,Stainless Steel,Baume Et Mercier,MENS,Automatic,Luxury,14.9,Scratch Resistant Sapphire,Silver-tone,Arabic Numeral,44.0,50.0,1
18kt White Gold,18kt White Gold President,Solid,18kt White Gold,Rolex,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Mineral,Silver-tone,Alternating Index and Roman Numeral,40.0,100.0,3
Titanium,Rubber,Solid,Ceramic,Panerai,MENS,Automatic,Dive,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Index,47.0,300.0,3
Stainless Steel,Stainless Steel,Transparent See Through,Stainless Steel,Audemars Piguet,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Index,41.0,50.0,3
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Citizen,MENS,Eco-Drive,Sport,11.5,Scratch Resistant Sapphire,Silver-tone,Index,43.0,100.0,0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Citizen,MENS,Eco-Drive,Sport,11.5,Scratch Resistant Sapphire,Black,Index,43.0,100.0,0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Armani Exchange,MENS,Quartz,Casual,10.9,Scratch Resistant Mineral,Black,Index,46.0,50.0,0
18kt Rose Gold,Leather,Transparent,18kt Rose Gold,Breguet,MENS,Automatic,Luxury,11.5,Scratch Resistant Sapphire,Rose Gold-tone,Roman Numeral,43.0,100.0,4
Stainless Steel,Leather,Solid,Stainless Steel,Longines,WOMENS,Quartz,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Roman Numeral,33.0,94.38815128863104,0
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Longines,MENS,Automatic,Casual,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Arabic Numeral and Index,40.0,30.0,1
Titanium,Alligator Leather,Skeleton,Titanium,Jaeger LeCoultre,MENS,Automatic,Luxury,16.5,Scratch Resistant Sapphire,Luminous,Arabic Numeral,46.0,100.0,3
Alloy,Leather,Solid,Alloy,Simplify,UNISEX,Quartz,Casual,11.0,Scratch Resistant Mineral,Orange,Index,42.0,30.0,0
18kt Yellow Gold,18kt Yellow Gold,Solid,Diamond Set,Omega,WOMENS,Automatic,Dress,9.5,Scratch Resistant Sapphire,Gold-tone,Diamond,32.0,30.0,2
Stainless Steel,Rubber,Transparent,Stainless Steel,Mido,MENS,Automatic,Sport,15.0,Scratch Resistant Sapphire,Luminous Blue,Dot,44.0,200.0,1
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Invicta,MENS,Quartz,Casual,19.0,Scratch Resistant Mineral,Silver-tone,Index,52.0,100.0,0
Stainless Steel,Stainless Steel Oyster,Solid,Stainless Steel,Rolex,MENS,Automatic,Luxury,12.0,Scratch Resistant Sapphire,Silver-tone,Arabic Numeral,36.0,100.0,1
Titanium,Titanium,Solid,Titanium,Tag Heuer,MENS,Quartz,Luxury,11.196182331158523,Scratch Resistant Sapphire,Black,Index,40.0,200.0,1
18kt White Gold,Alligator Leather,Solid,Diamond Set,Cartier,WOMENS,Automatic,Luxury,12.1,Scratch Resistant Sapphire,Blued-steel Sword-shaped,Black Roman Numeral,36.0,30.0,3
Stainless Steel,Stainless Steel,Transparent,Ceramic,Omega,MENS,Automatic,Dive,11.196182331158523,Scratch Resistant Sapphire,18kt White Gold,Index-Arabic Numeral,45.0,6000.0,1
Stainless Steel,Leather,Solid,Stainless Steel,Longines,MENS,Automatic,Casual,11.7,Scratch Resistant Sapphire,Blue,Arabic Numeral,38.0,30.0,1
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Cartier,MENS,Automatic,Luxury,7.65,Scratch Resistant Sapphire,Blued-steel Sword-shaped,Black Roman Numeral,31.0,30.0,1
Stainless Steel,Leather,Solid,Stainless Steel,Citizen,MENS,Eco-Drive,Casual,11.196182331158523,Scratch Resistant Sapphire,Gold-tone,Index,42.0,100.0,0
18kt Pink Gold,(Alligator) Leather,Transparent,18kt Pink Gold,Audemars Piguet,MENS,Automatic,Luxury,14.6,Scratch Resistant Sapphire,Luminous Rose Gold-tone,Arabic Numeral,42.0,100.0,3
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Gv2 By Gevril,WOMENS,Quartz,Fashion,8.5,Scratch Resistant Sapphire,Rose Gold-tone,Diamond,33.0,50.0,0
Stainless Steel,(Croco-Embossed) Leather,Solid,Stainless Steel,JBW,MENS,Quartz,Dress,13.0,Scratch Resistant Mineral,Luminous Rose Gold-tone,Index,48.0,100.0,0
18kt Yellow Gold,Alligator Leather,Solid,18kt Yellow Gold,Longines,WOMENS,Quartz,Casual,6.9,Scratch Resistant Sapphire,Blue,Roman Numeral,32.0,30.0,1
18kt White Gold,Leather,Transparent See Through,Diamond Set 18kt White Gold,Blancpain,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Diamond,34.0,50.0,2
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Citizen,WOMENS,Eco-Drive,Dress,8.6,Scratch Resistant Mineral,Rose Gold-tone,Index,31.0,100.0,0
Stainless Steel,Stainless Steel,Screw In,Stainless Steel,Equipe,MENS,Quartz,Dress,13.0,Scratch Resistant Mineral,Luminous,Dot,44.0,100.0,0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Gv2 By Gevril,WOMENS,Quartz,Fashion,9.0,Scratch Resistant Sapphire,Yellow Gold-tone,Diamond,32.0,50.0,0
