case_material,band_material,case_back,bezel_material,brand,gender,movement,watch_style,case_thickness,crystal,hands,dial_markers,case_diameter,water_resistance,price
18kt Yellow Gold,18kt Yellow Gold Rolex Oyster,Solid,18kt Yellow Gold with a Blue Cerachrom Ring,Rolex,MENS,Automatic,Dive,11.196182331158523,Scratch Resistant Sapphire,Yellow Gold,Dot,41.0,300.0,42500.0
Stainless Steel- Diamond Set,Stainless Steel,Solid,Diamond Set,Gucci,WOMENS,Quartz,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Diamonds,28.0,50.0,2269.99
18kt Rose Gold,Alligator Leather,Skeleton,18kt Rose Gold,Audemars Piguet,WOMENS,Automatic,Luxury,9.2,Scratch Resistant Sapphire,Rose Gold-tone,Roman Numeral,45.0,20.0,36965.0
Stainless Steel,Crocodile Leather,Solid,Stainless Steel,IWC,WOMENS,Automatic,Luxury,8.6,Scratch Resistant Sapphire,Silver-tone,Diamond-tipped Index,34.0,30.0,6785.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Oniss,WOMENS,Quartz,Casual,9.0,Scratch Resistant Mineral,Rose Gold-tone,Index,33.0,50.0,140.0
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Mido,WOMENS,Automatic,Luxury,10.35,Scratch Resistant Sapphire,Silver-tone,Index,33.0,100.0,289.0
Stainless Steel,Rubber,Solid,Stainless Steel showing Tachymeter Markings,Seiko,MENS,Quartz,Sport,12.0,Scratch Resistant Hardlex,Luminous Silver-tone,Index,43.0,100.0,124.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Gv2 By Gevril,WOMENS,Quartz,Fashion,10.0,Scratch Resistant Sapphire,Rose Gold-tone,Index,39.0,50.0,560.0
Stainless steel,Leather,Solid,Stainless steel,Johan Eric,MENS,Quartz,Casual,7.5,Scratch Resistant Mineral,Black,Roman Numeral,37.0,30.0,138.99
Stainless Steel,Stainless Steel Rolex Oyster,Solid,Stainless Steel,Rolex,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Index,34.0,100.0,9950.0
Stainless Steel,Stainless Steel and 18K Everose Gold Rolex Oyster,Solid,Diamond Set,Rolex,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Everose Gold,Index,28.0,100.0,16430.0
Carbotech,Rubber,Solid,Carbotech,Panerai,MENS,Automatic,Dive,11.196182331158523,Scratch Resistant Sapphire,Black Skeleton Sword-shaped,Dot,47.0,300.0,18115.0
18kt Yellow Gold,18kt Yellow Gold,Transparent See Through,18kt Yellow Gold,Audemars Piguet,MENS,Automatic,Luxury,9.3,Scratch Resistant Sapphire,Yellow Gold-tone,Index,37.0,50.0,156975.0
Resin,Resin,Solid,Resin,Casio,MENS,Quartz,Sport,16.9,Scratch Resistant Mineral,Pink Skeleton,Index,51.0,200.0,84.0
Stainless Steel,Stainless Steel,Solid,Diamond Set Stainless Steel,Gevril,WOMENS,Quartz,Luxury,7.5,Scratch Resistant Sapphire,Silver-tone,Diamond,36.0,50.0,2050.0
Stainless Steel,Stainless Steel with Brown Ceramic,Transparent,Stainless Steel,Rado,WOMENS,Automatic,Luxury,10.0,Scratch Resistant Sapphire,Rose Gold-tone,Diamond,33.0,30.0,1750.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Revue Thommen,MENS,Automatic,Luxury,12.65,Scratch Resistant Sapphire,Silver-tone,Index,42.0,300.0,609.0
Stainless Steel,Leather,Solid,Stainless Steel with an inalid Blue Ring,Breed,MENS,Quartz,Sport,12.0,Scratch Resistant Mineral,Luminous Silver-tone,Index,43.0,50.0,109.99
Stainless Steel,Leather,Solid,Stainless Steel with an inlaid Tortoise-shell Acetate Ring,Gv2 By Gevril,WOMENS,Quartz,Fashion,12.0,Scratch Resistant Sapphire,Yellow Gold-tone,Crystal-set Index,34.0,50.0,518.0
Stainless Steel,Rubber,Transparent,Stainless Steel,Chopard,MENS,Automatic,Luxury,12.67,Scratch Resistant Sapphire,Luminous Silver-tone,Arabic Numeral,42.0,50.0,6670.0
18kt Rose Gold,Alligator Leather,Transparent,18kt Rose Gold,Jaeger LeCoultre,MENS,Automatic,Luxury,10.95,Scratch Resistant Sapphire,Rose Gold-tone,Index-Arabic Numeral,40.0,50.0,22620.0
Stainless Steel,Leather,Solid,Stainless Steel,Mann Egerton,MENS,Quartz,Luxury,15.0,Scratch Resistant Mineral,Silver-tone,Roman Numeral & Index,45.0,30.0,120.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Citizen,MENS,Quartz,Dress,11.7,Scratch Resistant Mineral,Silver-tone,Index,38.0,50.0,159.0
Stainless Steel,Leather,Solid,Stainless Steel,Gv2 By Gevril,WOMENS,Quartz,Fashion,10.0,Scratch Resistant Sapphire,Yellow Gold-tone,Roman Numeral,36.0,30.0,529.0
Stainless Steel 316L,Stainless Steel 316L,Solid,Stainless Steel with a Red and Blue (Pepsi) Aluminum Ring,Mathey-Tissot,MENS,Automatic,Casual,8.55,Scratch Resistant Sapphire,Luminous Silver-tone,Dot,44.0,30.0,249.99
Stainless Steel,Calfskin leather,Solid,Stainless Steel,Breitling,MENS,Automatic,Sport,12.1,Scratch Resistant Sapphire,Silver-tone,Index,42.0,300.0,2950.0
Stainless Steel,Leather,Solid,Stainless Steel,Tudor,UNISEX,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Diamond,36.0,100.0,3880.0
Stainless Steel,Stainless Steel,Solid,Titanium,Tag Heuer,MENS,Quartz,Luxury,16.0,Scratch Resistant Sapphire,Luminous Silver-tone,Index,43.0,200.0,1498.0
Alloy,Stainless Steel,Solid,Alloy,Stuhrling Original,WOMENS,Quartz,Dress,7.0,Scratch Resistant Mineral,Silver-tone,Index,38.0,50.0,125.0
Stainless Steel,Rubber,Transparent See Through,Stainless Steel,Bell And Ross,MENS,Automatic,Luxury,11.0,Scratch Resistant Sapphire,Silver-tone,Index,42.0,100.0,5480.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Orient,MENS,Automatic,Casual,12.0,Scratch Resistant Sapphire,Silver-tone,Index,42.0,50.0,178.23
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Invicta,MENS,Quartz,Military,19.0,Scratch Resistant Mineral,Silver-tone,Index,52.0,100.0,135.8
Stainless Steel,Stainless Steel,Solid,Tungsten,Trematic,MENS,Automatic,Luxury,12.0,Scratch Resistant Sapphire,Silver-tone,Arabic Numeral & Index,39.0,200.0,604.99
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Invicta,WOMENS,Quartz,Casual,11.5,Scratch Resistant Mineral,Gold-tone Mercedes-logo and Breguet-style shape,Index-Roman Numeral,38.0,100.0,65.0
18kt White Gold,Alligator Leather,Skeleton Transparent Exhibition See Through,Diamond Set,Jaeger LeCoultre,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Blue Sword-shaped,Black Arabic Numeral,34.0,50.0,38275.0
18kt Yellow Gold,Diamond Set 18kt Yellow Gold,Solid,Diamond Set 18kt Yellow Gold,Piaget,WOMENS,Quartz,Luxury,7.0,Scratch Resistant Sapphire,Yellow Gold-tone,Diamond,30.0,30.0,68550.0
White Gold,White Gold,Solid,White Gold set with Diamonds,Piaget,WOMENS,Automatic,Luxury,7.9,Scratch Resistant Sapphire,Black,Index,38.0,30.0,34140.0
Alloy,Leather,Transparent,Alloy,Stuhrling Original,WOMENS,Automatic,Dress,13.0,Scratch Resistant Mineral,Pink,Index,40.0,50.0,98.0
Resin,Resin,Solid,Resin,Casio,WOMENS,Quartz,Sport,11.196182331158523,Scratch Resistant Mineral,Rose Gold-tone,Index,45.0,200.0,84.0
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Longines,WOMENS,Automatic,Casual,9.0,Scratch Resistant Sapphire,Silver-tone,Roman Numeral,29.0,30.0,1325.0
18kt Rose Gold,Alligator Leather,Skeleton Transparent Exhibition See Through,18kt Rose Gold,Hublot,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Rose Gold,Index,38.0,50.0,15065.0
18kt White Gold,Alligator Leather,Solid,18kt White Gold,Audemars Piguet,MENS,Automatic,Luxury,12.5,Scratch Resistant Sapphire,Silver-tone,Arabic Numeral,29.0,30.0,25325.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Oniss,WOMENS,Quartz,Dress,10.0,Scratch Resistant Mineral,Silver-tone,Index,33.0,50.0,187.0
Composite Metal,Stainless Steel,Solid,Composite Metal set with Red Swarovski Crystal,August Steiner,WOMENS,Quartz,Dress,7.5,Scratch Resistant Hardlex,Rose Gold-tone,Red Crystal,33.0,30.0,59.0
Stainless Steel,Silicone,Solid,Stainless Steel,Invicta,MENS,Quartz,Casual,11.196182331158523,Flame Fusion,Gold-tone,Index,50.0,100.0,71.6
Metal with crystals,Metal,Solid,Stainless Steel set with Swarovski Crystals,Swarovski,WOMENS,Quartz,Dress,9.0,Scratch Resistant Mineral,Champagne Gold-tone,Index,35.0,50.0,250.0
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Omega,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Luminous Steel,Index,39.0,100.0,5925.0
Titanium,Cow Leather,Transparent,Titanium,Hamilton,MENS,Automatic,Sport,11.196182331158523,Scratch Resistant Sapphire,Black,Arabic Numeral,38.0,100.0,734.99
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Bulova,WOMENS,Quartz,Dress,11.196182331158523,Scratch Resistant Sapphire,Gold-tone,Dots-Diamond,26.0,30.0,203.0
18kt Yellow Gold,18kt Yellow Gold Rolex Oyster,Solid,18kt Yellow Gold,Rolex,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Yellow Gold,Roman Numeral,31.0,100.0,34435.0
Stainless Steel,Leather,Solid,Stainless Steel,Tissot,MENS,Quartz,Casual,8.1,Scratch Resistant Sapphire,Silver-tone,Roman Numeral,42.0,50.0,189.0
Stainless Steel,Leather,Transparent,Stainless Steel,Hamilton,MENS,Automatic,Casual,11.6,Scratch Resistant Sapphire,Silver-tone Leaf-style,Index,42.0,50.0,654.0
Brushed Stainless Steel,Fabric,Solid,Polished Stainless Steel,Panerai,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Index-Arabic Numerals,44.0,300.0,7250.0
Stainless Steel,Stainless Steel and 18kt Yellow Gold Oyster,Solid,18kt Yellow Gold,Rolex,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Yellow Gold-tone,Index,40.0,100.0,30990.0
18kt Yellow Gold,18kt Yellow Gold President,Solid,18kt Yellow Gold set with Diamonds,Rolex,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Yellow Gold,Roman Numeral,31.0,100.0,47360.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Citizen,MENS,Eco-Drive,Dress,10.5,Scratch Resistant Sapphire,Luminous Yellow Gold-tone,Index,41.0,100.0,219.0
Stainless Steel,Rubber,Solid,Stainless Steel,Cartier,MENS,Automatic,Casual,9.38,Scratch Resistant Sapphire,Luminous Black,Roman Numeral,40.0,100.0,7920.0
Stainless Steel,18kt Yellow Gold And Stainless Steel Oyster,Solid,18kt Yellow Gold,Rolex,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,"Gold-tone Mercedes-logo, sword, and Breguet-style shape",Luminous Dots,40.0,100.0,10495.0
Stainless Steel,Stainless Steel,Transparent See Through,Stainless Steel,Audemars Piguet,MENS,Automatic,Luxury,10.5,Scratch Resistant Sapphire,Silver-tone,Index,41.0,50.0,50250.0
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Longines,WOMENS,Automatic,Luxury,9.0,Scratch Resistant Sapphire,Blue Steel,Arabic Numeral,25.0,30.0,1399.0
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Armand Nicolet,MENS,Automatic,Sport,13.0,Scratch Resistant Sapphire,Silver-tone,Index-Arabic Numeral,42.0,100.0,1656.0
Stainless Steel,(Perforated Calfskin) Leather,Transparent,18kt Rose Gold with a Blue Aluminium Inlay,Chopard,MENS,Automatic,Luxury,11.43,Scratch Resistant Sapphire,Luminous Rose Gold-tone,Index,43.0,100.0,6450.0
Stainless Steel,Stainless Steel with 18kt Yellow Gold (Cap 200) Li,Skeleton,18kt Yellow Gold (Cap 200),Longines,MENS,Automatic,Dress,11.0,Scratch Resistant Sapphire,Gold-tone,Diamond,38.0,30.0,1450.0
18kt Rose Gold,Alligator/Crocodile Leather,Transparent,Diamond Set,Breguet,WOMENS,Automatic,Dress,10.05,Scratch Resistant Sapphire,Blue,Arabic Numeral,28.0,30.0,28756.0
18kt Everose Gold,18kt Everose Gold Rolex President,Solid,18kt Everose Gold,Rolex,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Rose-Gold Tone,Diamond with Diamond-Filled Roman Numeral 9,28.0,100.0,28715.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Tommy Hilfiger,WOMENS,Quartz,Fashion,10.0,Scratch Resistant Mineral,Silver-tone,Index,38.0,30.0,115.99
Carbon,Rubber,Solid,Carbon,Doxa,MENS,Automatic,Dive,11.196182331158523,Scratch Resistant Sapphire,Black,Index,42.0,300.0,2915.0
Stainless Steel,Leather,Solid,Stainless Steel,Citizen,MENS,Quartz,Sport,13.0,Scratch Resistant Mineral,Luminous Silver-tone,Index-Arabic Numeral,44.0,100.0,199.0
Composite Metal,Alloy,Solid,Composite Metal set with Crystals,August Steiner,WOMENS,Quartz,Fashion,12.0,Scratch Resistant Mineral,Luminous Gold-tone,Diamond,40.0,10.0,44.66
Stainless steel,Stainless Steel Mesh,Solid,Stainless steel,Johan Eric,WOMENS,Quartz,Casual,9.0,Solidified Crystal Mineral,Silver-tone,Roman Numeral and Index,38.0,30.0,101.99
Alloy,Leather,Solid,Alloy,Stuhrling Original,MENS,Quartz,Casual,13.0,Scratch Resistant Mineral,Luminous Black,Alternating Arabic Numeral & Index,45.0,50.0,92.0
Ceramic,Canvas,Solid,Ceramic,Jaeger LeCoultre,MENS,Automatic,Luxury,14.3,Scratch Resistant Sapphire,Luminous Rose Gold-tone,Index,46.0,100.0,12590.0
18kt Rose Gold,18kt Rose Gold,Transparent See Through,18kt Rose Gold,Audemars Piguet,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Rose Gold-tone,Index,41.0,50.0,120175.0
18kt White Gold (Diamond-Set Lug),18kt White Gold Rolex Oyster,Solid,Diamond Set,Rolex,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Roman Numeral,26.0,100.0,31880.0
Stainless Steel,Silicone,Solid,Stainless Steel,Invicta,MENS,Quartz,Dive,17.2,Scratch Resistant Mineral,Luminous Red,Index,46.0,300.0,140.99
Stainless Steel,(Alligator) Leather,Transparent,Stainless Steel,Baume Et Mercier,MENS,Automatic,Dress,11.3,Scratch Resistant Sapphire,Rhodium-plated,Index,40.0,50.0,2395.0
Stainless Steel,(Alligator) Leather,Transparent,Stainless Steel,Glashutte Original,MENS,Automatic,Luxury,12.4,Scratch Resistant Sapphire,Luminous Silver-tone,Index,42.0,30.0,5500.0
Composite Metal,Stainless Steel,Transparent,Composite Metal,Joshua And Sons,MENS,Quartz,Fashion,12.0,Scratch Resistant Mineral,Luminous Silver-tone,Index,43.0,30.0,66.3
Stainless Steel,Alligator Leather,Solid,Stainless Steel,Breitling,MENS,Automatic,Sport,11.6,Scratch Resistant Sapphire,Silver-tone,Index,41.0,30.0,4680.0
Stainless Steel,Leather,Solid,Stainless Steel,Gv2 By Gevril,WOMENS,Quartz,Fashion,10.0,Scratch Resistant Sapphire,Rose Gold-tone,Roman Numeral,36.0,30.0,403.99
Stainless Steel,Stainless Steel,Skeleton,Stainless Steel,Longines,MENS,Automatic,Dress,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Roman Numeral,40.0,30.0,1355.0
18kt Everose Gold,Leather,Solid,18kt Everose Gold,Rolex,UNISEX,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Rose Gold Alpha-style shape,Index,39.0,50.0,15730.0
Stainless Steel,Alligator Leather,Transparent,Stainless Steel,Longines,MENS,Automatic,Sport,14.2,Scratch Resistant Sapphire,Rose Gold-tone,Roman Numeral,42.0,30.0,2840.0
Stainless Steel,Leather,Solid,Stainless Steel,Breitling,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Arabic Numeral,43.0,100.0,7660.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel with a Black Ring,Breitling,MENS,Automatic,Luxury,14.2,Scratch Resistant Sapphire,Luminous Silver-tone,Index,44.0,1000.0,2295.0
Stainless Steel,Rubber,Solid,Stainless Steel,Romain Jerome,MENS,Automatic,Luxury,14.5,Scratch Resistant Sapphire,Silver-tone,Arabic Numeral,46.0,30.0,4124.99
Stainless Steel,Stainless Steel,Solid,Stainless Steel with Swarovski Crystals,Citizen,WOMENS,Quartz,Dress,6.0,Scratch Resistant Mineral,Rose Gold-tone,Index,30.0,50.0,94.99
Stainless Steel,Stainless Steel,Transparent,Stainless Steel with a Black Aluminium Ring,Bell And Ross,MENS,Automatic,Luxury,12.0,Scratch Resistant Sapphire,Luminous Silver-tone,Index,41.0,100.0,2415.0
18kt Rose Gold,18kt Rose Gold set with Diamonds,Transparent,18kt Rose Gold set with Diamonds,Bvlgari,WOMENS,Automatic,Dress,11.196182331158523,Scratch Resistant Sapphire,Rose Gold-tone,Diamond,33.0,50.0,19980.0
Stainless Steel,(Calfskin) Leather,Transparent,Stainless Steel,Armand Nicolet,MENS,Automatic,Luxury,13.0,Scratch Resistant Sapphire,Luminous Silver-tone,Index,43.0,100.0,720.0
Stainless Steel,Leather,Solid,Stainless Steel,Tissot,MENS,Quartz,Casual,10.5,Scratch Resistant Mineral,Black,Arabic Numeral,31.0,30.0,169.0
Stainless Steel,Leather,Solid,Stainless Steel,Versace,WOMENS,Quartz,Dress,9.0,Scratch Resistant Sapphire,Luminous Yellow Gold-tone,Roman Numeral,34.0,50.0,247.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Hamilton,MENS,Hand Wind,Casual,10.0,Scratch Resistant Sapphire,Luminous Silver-tone,Arabic Numeral,42.0,50.0,517.0
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Bulova,MENS,Quartz,Casual,10.1,Scratch Resistant Sapphire,Luminous Gold-tone,Index,42.0,50.0,587.0
Stainless steel,Stainless Steel,Solid,Stainless steel,Johan Eric,MENS,Quartz,Casual,9.0,Scratch Resistant Mineral,Rose Gold-tone,Index,42.0,50.0,161.99
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Gevril,MENS,Automatic,Luxury,16.0,Scratch Resistant Sapphire,Yellow Gold-tone,Index,43.0,200.0,1623.0
Stainless Steel,Leather,Solid,Stainless Steel,Gv2 By Gevril,WOMENS,Quartz,Luxury,8.5,Scratch Resistant Sapphire,Yellow Gold-tone,Diamond,35.0,50.0,661.0
Stainless Steel,Rubber,Solid,18kt Rose Gold,Chopard,WOMENS,Quartz,Luxury,11.196182331158523,Scratch Resistant Sapphire,Rose Gold-tone,Index-Roman Numerals,36.0,30.0,5035.0
18kt White Gold,Leather,Solid,Diamond Set,Rolex,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-Tone,Index and Diamond Set Arabic at 6 and 9,36.0,100.0,30365.0
Stainless Steel,Silicone,Solid,Stainless Steel,Technomarine,MENS,Quartz,Casual,12.5,Mineral,Luminous Gold-tone,Index,42.0,50.0,69.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Gv2 By Gevril,WOMENS,Quartz,Fashion,10.0,Scratch Resistant Sapphire,Blue,Roman Numeral,36.0,30.0,654.0
Titanium,Alligator Leather,Skeleton,Titanium,Audemars Piguet,MENS,Automatic,Luxury,14.0,Scratch Resistant Sapphire,Silver-tone,Index,42.0,94.38815128863104,939230.0
18kt Rose Gold,18kt Rose Gold and Stainless Steel,Solid,Stainless Steel,Carl F. Bucherer,WOMENS,Quartz,Luxury,6.2,Scratch Resistant Sapphire,Rose Gold-tone,Index and Diamond,30.0,30.0,2375.0
Stainless Steel,Stainless Steel and 18kt Yellow Gold Rolex Jubilee,Solid,18kt Yellow Gold set with Diamonds,Rolex,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Yellow Gold,Diamond,36.0,100.0,22000.0
Stainless Steel,Calfskin Leather,Transparent,Stainless Steel,Oris,MENS,Automatic,Casual,12.2,Anti-Reflective Scratch Resistant Sapphire,Silver-tone,Arabic Numeral,41.0,100.0,1400.0
Carbon Fiber,Rubber,Transparent,Carbon Fiber and Aluminum,Hublot,MENS,Automatic,Luxury,11.196182331158523,Anti-reflective Sapphire,Luminous Silver-tone,Alternating Index and Arabic Numeral,45.0,100.0,18690.0
Stainless Steel,Calfskin,Solid,Stainless Steel,Gv2 By Gevril,WOMENS,Quartz,Fashion,13.0,Scratch Resistant Sapphire,Blue,Roman Numeral,36.0,30.0,519.0
