Price,CASE_MATERIAL,CASE_SHAPE,CASE_BACK,BAND_MATERIAL,BAND_TYPE,BAND_COLOR,CLASP,DIAL_COLOR,TYPE,CRYSTAL,HANDS,DIAL_MARKERS,SECOND_MARKERS,BEZEL,BEZEL_COLOR,BEZEL_MATERIAL,BRAND,COLLECTION_NAME,GENDER,MODEL,MOVEMENT,ENGINE,CALENDAR,FUNCTIONS,WATCH_FEATURES,WATCH_STYLE,CASE_DIAMETER,WATER_RESISTANCE,CASE_THICKNESS
1550.0,Stainless Steel,Round,Transparent See Through,Leather,Strap,Black,Buckle,Black,Analog,Scratch Resistant Sapphire,Black,Arabic Numeral & Index,Minute Markers around the outer rim,Fixed,Silver-tone,Stainless Steel,U-Boat,Classico,Mens,8890,Automatic,,Date display at the 6 o'clock position,"Date, Day, Hour, Minute, Second","Analog, Leather, Stainless Steel",Casual,40.0,100.0,
2216.0,Stainless Steel,Round,Solid,Rubber,Strap,Black,Buckle,Black,Analog,Scratch Resistant Sapphire,Black,Arabic & Index,,Fixed,Black,Stainless Steel,Bell And Ross,Vintage,Mens,BR123-95-SC,Automatic,,Date display at the 6 o'clock position,"Date, Hour, Minute, Second, Water resistant","Analog, Rubber, Stainless Steel",Casual,41.0,100.0,12.0
7500.0,Stainless Steel,Round,Solid,Stainless Steel,Bracelet,Silver-tone,Deployment with Push Button Release,Black,Analog,Acrylic,Silver-tone,Index,Minute Markers around the outer rim,Fixed Tachymeter Scale,Black,Stainless Steel,Omega,Speedmaster,Mens,145.022-69,Hand Wind,,,"Chronograph, Hour, Minute, Second","Analog, Stainless Steel, Chronograph",Luxury,41.0,,14.0
1499.0,Stainless Steel,Round,Solid,Stainless Steel,Bracelet,Silver-tone,Deployment with Push Button Release,Grey,Analog,Scratch Resistant Sapphire,Silver-tone,Index,Minute Markers around the outer rim,Uni-directional Rotating,Grey,Stainless Steel,Gevril,Wall Street Chrono,Mens,4154A,Automatic,Sellita Caliber SW500,Date display at the 3 o'clock position,"Chronograph, Date, Day, Hour, Minute, Small Second","Analog, Ceramic, Stainless Steel, Chronograph",Luxury,43.0,200.0,13.0
3977.0,Stainless Steel,Round,Skeleton,Stainless Steel,Bracelet,Silver-tone,Deployment with Push Button Release,White,Analog,Scratch Resistant Sapphire,Silver-tone,Stick,Minute Markers around the outer rim,Fixed,Silver-tone,Stainless Steel,Omega,Constellation,Mens,15142000,Automatic,Omega Calibre 3313,Date display at the 6 o'clock position,"Chronograph, Date, Hour, Minute, Second, Chronometer","Analog, Chronometer, Stainless Steel, Chronograph",Luxury,41.0,100.0,14.5
595.0,Stainless Steel,Round,Solid,Stainless Steel,Bracelet,Black-plated,Deployment with Push Button Release,Black,Analog,Scratch Resistant Sapphire,Silver-tone Skeleton,Index,24 Hour Markers. Minute Markers around the outer rim,Fixed,Black-plated,Stainless Steel with an inlaid Red Ring showing Tachymeter Markings,Gv2 By Gevril,Scuderia,Mens,9925B,Quartz,Ronda Caliber 5130.D,Date display at the 4 o'clock position,"Chronograph, Alarm, Date, Hour, Minute, Small Second","Analog, Stainless Steel, Chronograph, Alarm",Luxury,45.0,100.0,13.5
1051.0,Stainless Steel,Square,Transparent See Through,Canvas,Strap,Green,Buckle,Green,Analog,Scratch Resistant Sapphire,Rose Gold-tone,Index,Minute Markers around the outer rim,Uni-directional Rotating,Green,Stainless Steel,Gv2 By Gevril,XO Submarine,Mens,4543,Automatic,Sellita Caliber SW200,Date display between 4 and 5 o'clock position,"Date, Hour, Minute, Second","Analog, Gold, Stainless Steel",Luxury,44.0,100.0,13.0
24432.0,18kt Yellow Gold,Round,Transparent,Leather,Strap,Brown,Tang,Opaline White,Analog,Scratch Resistant Sapphire,Gold-tone Dauphine-style,Index,Minute Markers around the outer rim,Fixed,,18kt Yellow Gold,Patek Philippe,Calatrava,Mens,5196J-001,Hand Wind,Patek Philippe Calibre 215 PS,,"Hour, Minute, Small Second","Analog, Gold, Leather",Luxury,37.0,30.0,
196.0,Stainless Steel,Round,Transparent,Leather,Strap,Blue,Deployment with Push Button Release,Blue,Analog,Scratch Resistant Mineral,Silver-tone,Index,Minute Markers around the outer rim,Uni-directional Rotating,Blue,Stainless Steel,Stuhrling Original,Aquadiver,Mens,M17183,Automatic,,Date display at the 3 o'clock position,"Date, Hour, Minute, Second","Analog, Leather, Stainless Steel",Dive,42.0,200.0,16.0
3750.0,Titanium,Round,Solid,Titanium 1,Bracelet,Grey,Fold Over with Safety Release,Black,Analog,Scratch Resistant Sapphire,Luminous Silver-tone,Index,Minute Markers around the outer rim,Uni-directional Rotating,Grey,Titanium with a Black Ceramic Ring,Ball,Engineer Hydrocarbon,Mens,DC3226A-S4C-BK,Automatic,Ball Calibre RR1402-C,Day of the Week and Date display at the 3 o'clock position,"Chronograph, Date, Day, Hour, Minute, Second, Chronometer, Shock Resistant","Analog, Chronometer, Ceramic, Titanium, Chronograph",Dive,42.0,600.0,17.3
64860.0,18kt White Gold,Round,,Alligator Leather,Strap,Black,,Skeleton,Analog,Scratch Resistant Sapphire,Black-toned Alpha-style shape,Roman Numeral,Minute Markers around the outer rim,Fixed,,18kt White Gold,Vacheron Constantin,Metiers d'Art,Mens,82020/000G-9924,Hand Wind,Vacheron Constantin Calibre 4400 SQ,,"Hour, Minute, Second","Alligator Leather, Analog, Gold, Leather",Luxury,40.0,30.0,7.5
57495.0,Polished Sapphire,Round,,Transparent Structured Lined,,,Deployant,Polished Transparent Composite Resin Skeleton,Analog,Scratch Resistant Sapphire,Silver-tone,Arabic Numeral,,Fixed,,Polished Sapphire Crystal with 6 H-shaped Titanium,Hublot,Big Bang Unico Sapphire,Mens,441.JX.4802.RT,Automatic,Hublot Calibre HUB1280,Date display at the 3 o'clock position,"Date, Hour, Minute, Second","Titanium, Analog",Luxury,42.0,50.0,
41890.0,18Kt White Gold Set with 62 Diamonds,Round,,Satin,Strap,Black,Tang,Diamond-set,Analog,Scratch Resistant Sapphire,Silver-tone,Index,,Fixed White Gold Set with Diiamond,,,Piaget,Limelight Gala,Womens,G0A38162,Quartz,Piaget Calibre 690P,,"Hour, Minute","Analog, Gold, Diamond",Luxury,32.0,30.0,7.4
18890.0,18kt Rose Gold,Rectangle,,Alligator Leather,Strap,Brown,Fold Over,Sun Burst,Analog,Scratch Resistant Sapphire,Gold-tone,Index,Minute Markers around the outer rim,Fixed,,18kt Rose Gold,Piaget,Black Tie,Mens,G0A33062,Automatic,Piaget Calibre 561P,Date display at the 6 o'clock position,"Hour, Minute, Small Second, Power Reserve Indicator","Alligator Leather, Analog, Power Reserve Indicator, Gold, Leather",Luxury,41.0,30.0,
64860.0,18kt White Gold,Round,Transparent (See Through),Alligator Leather,Strap,Black,,Skeleton,Analog,Scratch Resistant Sapphire,Skeleton Alpha-style shape,Roman Numeral,Minute Markers around the outer rim,Fixed,,18kt White Gold,Vacheron Constantin,Metiers d'Art,Mens,82020/000G-9926,Hand Wind,Vacheron Constantin Calibre 4400 SQ,,"Hour, Minute, Second","Alligator Leather, Analog, Gold, Leather",Luxury,40.0,30.0,7.5
6725.0,Stainless Steel,Rectangle,,Stainless Steel,Bracelet,Silver-tone,,White,Analog,Scratch Resistant Sapphire,Blue Spade-shaped,BlackArabic Numeral,Minute Scale around the inner rim,Fixed,Silver-tone,Stainless Steel,Jaeger LeCoultre,LeCoultre,Mens,250.81.20,Hand Wind,,,"Hour, Minute","Analog, Stainless Steel",Luxury,23.0,30.0,
47725.0,18kt Yellow Gold,Round,Solid,Oysterflex Rubber,Strap,Black,Oysterlock,White,Analog,Scratch Resistant Sapphire,,Index,,Bi-directional Rotating,,,Rolex,Sky Dweller,Mens,326238WSR,Automatic,Rolex Calibre 9001,Date display at the 3 o'clock position,"Annual Calendar, Month, Date, GMT, Second Time Zone, Hour, Minute, Second, Chronometer","Month, Analog, GMT, Annual Calendar, Chronometer, Gold, Rubber, Time Zone",Luxury,42.0,100.0,
24245.0,Platinum,Round,,Leather,Strap,Blue,Tang,Blue,Analog,Scratch Resistant Sapphire,White Dauphine-style shape,Index,,Fixed,White,Platinum,Jaeger LeCoultre,Master Control Ultra Thin,Mens,Q1456480,Hand Wind,Jaeger LeCoultre Calibre JLC 849,,"Hour, Minute","Platinum, Analog, Leather",Luxury,38.0,50.0,6.3
10335.0,Stainless Steel,Round,,Stainless Steel,Bracelet,Black PVD,Deployment,Black,Analog,Scratch Resistant Sapphire,Luminous,Index,Minute Markers around the outer rim,Uni-Directional Rotating,Black,Diamond Set,Jaeger LeCoultre,Master Compressor,Womens,Q189CC70,Automatic,Jaeger LeCoultre Calibre JLC 971D,Date display at the 3 o'clock position,"Chronograph, Date, Hour, Minute, Second","Analog, GMT, Stainless Steel, Chronograph, Diamond",Luxury,39.0,100.0,
19855.0,18kt Rose Gold,Rectangle,Solid,Alligator Leather,Strap,Black,Deployment with Push Button Release,Silver guilloche and black,Analog,Scratch Resistant Sapphire,Blue and luminous,Arabic Numeral,Minute Markers around an inner ring,Fixed,,18kt Rose Gold,Jaeger LeCoultre,Grande Reverso Duo,Mens,Q3742421,Hand Wind,Jaeger LeCoultre Calibre JLC 986,Date display at the 12 o'clock position,"GMT, Second Time Zone, Hour, Minute, Small Second, Day/Night Indicator","Day/Night Indicator, Alligator Leather, Analog, GMT, Gold, Leather, Time Zone",Luxury,30.0,30.0,10.2
30055.0,18kt Rose Gold,Round,See Through,Leather,Strap,Brown,Deployment,Silver-tone,Analog,Scratch Resistant Sapphire,Gold-tone,Index,Minute Markers around the outer rim,Fixed,,18kt Rose Gold,Piaget,Polo,Mens,G0A32039,Automatic,Piaget Calibre 880P,Date display at the 12 o'clock position,"Chronograph, Column Wheel, FlyBack, GMT, Second Time Zone, Hour, Minute, Second","Analog, GMT, Flyback, Gold, Leather, Chronograph, Time Zone",Luxury,43.0,30.0,
1530.0,Stainless Steel Case Set with Diamonds,Rectangle,,Stainless Steel,Bracelet,Silver-tone,Double Push Button Fold Over,Grey Polka Dot,Analog,Scratch Resistant Sapphire,Silver tone,,,Fixed,Silver-tone,Diamond Set,Raymond Weil,Shine,Womens,1500-ST2-60000,Quartz,,,"Hours, Minutes","Analog, Stainless Steel, Diamond",Dress,19.0,30.0,6.6
5245.0,18kt Rose Gold,Round,"18K Rose Gold, Solid, secured via 8 gold screws",Satin,Strap,Black,18kt Rose Gold Fold-under Deployment Buckle,Silver Sunray,Analog,Scratch Resistant Sapphire,Blued-steel Sword-shaped,Black Roman numerals,,3 Diamond,,,Cartier,Love,Womens,WE800431,Quartz,Cartier Calibre 157,,"Hour, Minute","Analog, Gold, Diamond",Luxury,23.0,30.0,6.0
15865.0,Titanium,Round,,Rubber,Strap,Black,,Black,Analog,Scratch Resistant Sapphire,Silver-tone,Index,Minute Markers around the outer rim,Fixed,Grey,Titanium,Piaget,Polo FortyFive,Mens,G0A36017,Hand Wind,,Date display at the 12 o'clock position,"Chronograph, Date, Hour, Minute, Second","Analog, Rubber, Titanium, Chronograph",Luxury,45.0,100.0,
17440.0,18Kt White Gold,Round,Transparent Sapphire,Leather,Strap,Black,Ardillon Buckle,Metallic Slate,Analog,Scratch Resistant Sapphire,Silver-tone,Index,,Fixed,,18kt White Gold,Harry Winston,Midnight Monochrome,Mens,MIDAHD42WW003,Automatic,Harry Winston Calibre HW1019,Date display at the 6 o'clock position,"Date, Hour, Minute","Analog, Gold, Leather",Luxury,42.0,30.0,
29885.0,18Kt White Gold,Round,Solid,18kt White Gold,Bracelet,White Gold-tone,Deployment,Silver,Analog,Scratch Resistant Sapphire,Silver-tone Dauphine-style shape,Index,Minute Markers around the outer rim,Fixed White Gold Set with Diamond,,,Piaget,Dancer,Womens,G0A38052,Quartz,Piaget Calibre 857P,,"Hour, Minute","Analog, Gold, Diamond",Luxury,28.0,30.0,6.1
16930.0,Ceramic,Round,Solid,Ceramic,Bracelet,White,Deployment with Push Button Release,White opaline with 63 diamonds (0.34 carats),Analog,Scratch Resistant Sapphire,Silver-tone,Diamond Index,Day Markers around the outer rim,Fixed 54 diamond (1.42 carats),,,Chanel,J12,Unisex,H3405,Automatic,,Date display around the inner bezel,"Day, Hour, Minute, Second, Moonphase","Analog, Ceramic, Diamond",Luxury,38.0,50.0,
22750.0,18kt Rose Gold,Rectangle,Transparent,18kt Rose Gold,Bracelet,Rose Gold-tone,Hidden Deployment,Silver,Analog,Scratch Resistant Sapphire,Blue Sword-shape,Arabic Numeral,Minute Scale around the inner rim,Fixed,,18kt Rose Gold,Jaeger LeCoultre,Reverso,Mens,Q2752120,Hand Wind,Jaeger LeCoultre Calibre JLC 823A,,"Moon Phase, Hour, Minute, Small Second, Power Reserve Indicator, Day/Night Indicator","Analog, Day/Night Indicator, Power Reserve Indicator, Gold, Moon Phase",Luxury,26.0,30.0,9.5
8685.0,Stainless Steel,Rectangle,Solid,Alligator Leather,Strap,Black,Deployment with Push Button Release,Silver and black,Analog,Scratch Resistant Sapphire,Blue and Luminous Sword-shaped,Black Arabic Numeral,Minute Markers around an inner ring,Fixed,Silver-tone,Stainless Steel,Jaeger LeCoultre,Grande Reverso Duo Date,Mens,Q3748420,Hand Wind,Jaeger LeCoultre Calibre JLC 986,Date display at the 12 o'clock position,"GMT, Second Time Zone, Hour, Minute, Small Second, Day/Night Indicator","Day/Night Indicator, Alligator Leather, Analog, GMT, Leather, Stainless Steel, Time Zone",Luxury,31.0,30.0,11.3
46770.0,Titanium,Round,Skeleton,Alligator Leather,Strap,Black,Tang,Ruthenium,Analog,Scratch Resistant Sapphire,Luminous,Arabic Numeral,Minute Markers around the outer rim,Fixed,Black,Titanium,Jaeger LeCoultre,Master Compressor Extreme Lab 2,Mens,Q203T540,Automatic,Jaeger LeCoultre Calibre JLC 780,Date display at the 3 o'clock position,"Chronograph, Column Wheel, Date, GMT, Second Time Zone, Minute, Second, Power Reserve Indicator","Alligator Leather, Analog, GMT, Power Reserve Indicator, Leather, Titanium, Chronograph, Time Zone",Luxury,46.0,100.0,16.5
30530.0,18kt White Gold,Round,,Alligator Leather,Strap,Black,Tang,Silver,Analog,Scratch Resistant Sapphire,Silver-tone Leaf-style shape,Roman Numeral,,Fixed,18 kt white gold,66 Diamond Set (0.76ctw),Audemars Piguet,Jules Audemars,Womens,26251BC.ZZ.A002CR.01,Automatic,Audemars Piguet Calibre 2324/2825,Day and date sub-dials,"Date, Day, Hour, Minute, Second, Moonphase","Alligator Leather, Analog, Gold, Leather, Diamond",Luxury,36.0,20.0,
39615.0,18kt Rose Gold,Round,See Through,Leather,Strap,Brown,Tang,Black,Analog,Scratch Resistant Sapphire,Gold-tone Leaf-style shape,Index,,Fixed,,18kt Rose Gold,Frederique Constant,Manufacture Tourbillon,Mens,FC-980C4S9,Automatic,Frederique Constant Calibre FC-980,,"Tourbillon, GMT, Second Time Zone, Hour, Minute, Day/Night Indicator","Analog, GMT, Day/Night Indicator, Gold, Leather, Tourbillon, Time Zone",Luxury,43.0,30.0,
23575.0,18kt Rose Gold,Round,Transparent,Alligator Leather,Strap,Grey,18K Red Gold and Black-plated Stainless Steel Depl,Grey Sunray,Analog,Scratch Resistant Sapphire,Gold-tone,Index,Minute Markers around the outer rim,Fixed,,18kt Rose Gold,Hublot,Classic Fusion,Mens,541.OX.7080.LR,Automatic,Hublot Calibre HUB1153,Date display at the 6 o'clock position,"Chronograph, Date, Hour, Minute, Second","Alligator Leather, Analog, Gold, Leather, Stainless Steel, Chronograph",Luxury,42.0,50.0,
68465.0,18kt Yellow Gold,Round,Solid,18kt Yellow Gold Rolex President,Bracelet,Yellow Gold-tone,Folding,White,Analog,Scratch Resistant Sapphire,Yellow Gold-tone,Roman Numeral,,Fixed,Yellow Gold-tone,Diamond Set 18kt Yellow Gold,Rolex,Day-Date 40,Mens,228348WRP,Automatic,Rolex Calibre 3255,Date display at the 3 o'clock position,"Date, Day, Hour, Minute, Second","Analog, Gold, Diamond",Luxury,40.0,100.0,
118905.0,18kt Everose Gold,Round,Solid,18kt Everose Gold Diamond-Set President,Bracelet,,Folding Crownclasp,Diamond Pave,Analog,Scratch Resistant Sapphire,Everose Gold,,,Fixed- Fluted,,18kt Everose Gold,Rolex,Day-Date,Unisex,M128235-0040,Automatic,Rolex Calibre 3255,Date display at the 3 o'clock position,"Date, Day, Hour, Minute, Second","Analog, Gold, Diamond",Luxury,36.0,100.0,
105050.0,18kt Everose Gold,Round,Solid,18kt Everose Gold Diamond-Set President,Bracelet,,Folding Crownclasp,Rose,Analog,Scratch Resistant Sapphire,Everose Gold,Diamond,,Fixed- Fluted,,18kt Everose Gold,Rolex,Day-Date,Unisex,M128235-0019,Automatic,Rolex Calibre 3255,Date display at the 3 o'clock position,"Date, Day, Hour, Minute, Second","Analog, Gold, Diamond",Luxury,36.0,100.0,
105855.0,18kt Everose Gold,Round,Solid,18kt Everose Gold Rolex Diamond-Set President,Bracelet,,Folding Crownclasp,Mother of Pearl,Analog,Scratch Resistant Sapphire,Everose Gold,Diamonds,,Fixed- Fluted,,18kt Everose Gold,Rolex,Day-Date,Unisex,M128235-0032,Automatic,Rolex Calibre 3255,Date display at the 3 o'clock position,"Date, Day, Hour, Minute, Second","Analog, Gold, Diamond",Luxury,36.0,100.0,
26430.0,18kt Rose Gold,Round,Solid,Satin,Strap,Light Brown,Ardillon Buckle,Beaded Pink Mother of Pearl Mosaic Mat,Analog,Scratch Resistant Sapphire,Rose Gold-tone,Diamond and Index,Minute Markers around the outer rim,Fixed Set with Diamond,Rose Gold-tone,18kt Rose Gold,Harry Winston,Premier,Womens,PRNQHM39RR001,Quartz,Harry Winston Calibre HW1042,,"Hour, Minute","Analog, Gold, Diamond",Luxury,39.0,30.0,
80500.0,18kt Yellow Gold,Round,Solid,18kt Yellow Gold Rolex President,Bracelet,,Folding,Black,Analog,Scratch Resistant Sapphire,Yellow Gold,Index,,Fixed,,Diamond Set,Rolex,Day-Date 40,Mens,228348BKSP,Automatic,Rolex Calibre 3255,Date display at the 3 o'clock position,"Date, Day, Hour, Minute, Second","Analog, Gold, Diamond",Luxury,40.0,100.0,
69830.0,18kt White Gold,Round,Solid,18kt White Gold President,Bracelet,,Folding,Blue,Analog,Scratch Resistant Sapphire,Silver-tone,Roman Numeral,Minute Markers around the outer rim,Fixed- Diamond Set,,18kt White Gold,Rolex,Day-Date,Mens,228349BLRP,Automatic,Rolex Calibre 3255,Date display at the 3 o'clock position,"Date, Day, Hour, Minute, Second","Analog, Gold, Diamond",Luxury,40.0,100.0,
18125.0,18kt Yellow Gold,Rectangle,Solid,18kt Yellow Gold,Bracelet,Yellow Gold-tone,Jewelry,Black lacquered,Analog,Scratch Resistant Sapphire,Yellow Gold,,,Fixed,,18kt Yellow Gold,Chanel,Premiere,Womens,H3257,Quartz,,,"Hour, Minute","Analog, Gold",Luxury,20.0,30.0,6.6
